id,symbol,maxSupply,priceUsd,volumeUsd24Hr,changePercent24Hr,vwap24Hr,timestamp
gala,GALA,50000000000.0000000000000000,0.0146802052719984,14944661.6855145448439725,-2.9956725861710946,0.0150056690665242,1743869821692
pax-gold,PAXG,,3058.2493050277999029,23951888.6660725602864886,0.1688879733228264,3051.1902961742908838,1743869821692
kaia,KAIA,,0.1066667426735292,10639757.0526403514984570,-4.7902326792715918,0.1096319499769478,1743869821692
curve-dao-token,CRV,3030303030.2990000000000000,0.4794987000119727,68658084.1102877416436332,-4.1688352341494520,0.4937295605262237,1743869821692
bittorrent,BTTOLD,,0.0000006304535300,1594695.5449998793700430,-0.3783721186680034,0.0000006335649573,1743869821692
iota,IOTA,,0.1640761937425617,8486162.0596022974926571,-1.6770321174922852,0.1665593724007480,1743869821692
zcash,ZEC,21000000.0000000000000000,38.0165434970593093,13761649.7016257340637841,-5.4944607393023489,39.6728505958842219,1743869821692
berachain,BERA,,5.5994037137255190,83624277.1110917705711340,-2.8006945059544110,5.7727815650475102,1743869821692
bitcoin-sv,BSV,,30.2007788418203364,9337576.1275926633598297,-1.6237297934225148,30.7408362727394145,1743869821692
flow,FLOW,,0.3664163861569823,4827969.6338725943268724,-1.6068938914989110,0.3728635525243774,1743869821692
jito,JTO,,1.7216486749389484,24009970.1312234433092002,-8.8856885061471409,1.8241348979249726,1743869821692
pancakeswap,CAKE,450000000.0000000000000000,1.8027055043330120,18432518.8929509870979006,-0.8349233935220821,1.8225532568576123,1743869821692
floki-inu,FLOKI,0.0000000000000000,0.0000550165496603,32122758.0520502817274049,-1.4199445965134872,0.0000562182980995,1743869821692
