id,name,rank,supply,explorer,marketCapUsd
multi-collateral-dai,dai,27,5365382702.664872,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,5364356996.471352
bitget-token-new,bitget token,28,1200000000.0,https://etherscan.io/token/0x54D2252757e1672EEaD234D27B1270728fF90581,5313756912.559417
ethena-usde,ethena usde,29,5235230043.685924,etherscan.io,5230008555.208168
pi,pi,30,6817635541.724001,https://blockexplorer.minepi.com/,4263408751.311755
monero,monero,31,18446744.07370955,http://moneroblocks.info/,3989850292.493952
hyperliquid,hyperliquid,32,333928180.0,https://app.hyperliquid.xyz/explorer/token/0x0d01dc56dcaaca66ad901c959b4011ec,3866680214.1601543
uniswap,uniswap,33,628494054.71,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3645016473.762324
okb,okb,34,60000000.0,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c,3045191332.4095755
pepe,pepe,35,420689899653543.6,https://etherscan.io/token/0x6982508145454ce325ddbe47a25d4ec3d2311933,2942353997.07699
near-protocol,near protocol,36,1199614769.0,https://explorer.nearprotocol.com/,2918659484.347632
aptos,aptos,37,604650885.7836708,https://explorer.aptoslabs.com/,2906826188.560305
ondo-finance,ondo,38,3159107529.0,https://etherscan.io/token/0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,2537686913.8284783
mantle,mantle,39,3364694382.8368406,https://mantlescan.xyz/,2472288237.151125
